Chapter,	Link
1,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144454547001/1280/720
2,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144450829001/1280/720
3,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144453412001/1280/720
4,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144454756001/1280/720
5,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144461611001/640/360
6,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144460842001/1280/720
7,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144456779001/1280/720
8,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144462794001/1280/720
9,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144469978001/1280/720
10,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144467693001/1280/720
11,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144469727001/1280/720
12,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6144468112001/1280/720
13,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145312224001/1280/720
14,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145309624001/1280/720
15,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145312538001/1280/720
16,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145310570001/1280/720
17,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145312172001/1280/720
18,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145310803001/1280/720
19,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145315408001/1280/720
20,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145321826001/1280/720
21,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145318096001/1280/720
22,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145321254001/1280/720
