Chapter,	Link
1,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145303784001/1280/720
2,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145305303001/1280/720
3,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145305508001/1280/720
4,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145303791001/1280/720
5,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145308750001/1280/720
6,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145306284001/1280/720
7,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145308652001/1280/720
